8,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
Compensi amministratore,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Compensi amministratore,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Compensi amministratore,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  25.609 ,  31.166 ,  -   ,  -   ,  -   ,  -   ,  31.166 ,13%,,Compensi amministratore,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  25.609 ,  5.557 ,- 31.166 ,  -   ,  -   ,  -   ,  5.557 ,502%,,Compensi amministratore,Compensi amministratore
Rimborsi amministratore,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Rimborsi amministratore,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Rimborsi amministratore,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.955 ,  3.002 ,  -   ,  -   ,  -   ,  -   ,  3.002 ,1%,,Rimborsi amministratore,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.955 ,  46 ,- 3.002 ,  -   ,  -   ,  -   ,  46 ,4%,,Rimborsi amministratore,Rimborsi amministratore
Personale,- 6.063 ,  5.129 ,  59.963 ,  72.552 ,  85.234 ,  109.029 ,  122.992 ,  137.119 ,  -   ,  -   ,  -   ,  -   ,  137.119 ,59%,,Personale,- 6.063 ,  11.192 ,  54.834 ,  12.589 ,  12.682 ,  23.795 ,  13.963 ,  14.126 ,- 137.119 ,  -   ,  -   ,  -   ,  14.126 ,,,,Personale,  8.380 ,  17.510 ,  26.940 ,  38.394 ,  49.936 ,  68.693 ,  51.013 ,  55.950 ,  -   ,  -   ,  -   ,  -   ,  55.950 ,24%,,Personale,  8.380 ,  9.130 ,  9.429 ,  11.454 ,  11.542 ,  18.757 ,- 17.680 ,  4.937 ,- 55.950 ,  -   ,  -   ,  -   ,  4.937 ,446%,,Personale,Personale
Servizi amministrativi contabilità,  930 ,  1.781 ,  6.879 ,  8.233 ,  9.579 ,  10.605 ,  11.591 ,  12.617 ,  -   ,  -   ,  -   ,  -   ,  12.617 ,5%,,Servizi amministrativi contabilità,  930 ,  851 ,  5.098 ,  1.354 ,  1.346 ,  1.026 ,  986 ,  1.026 ,- 12.617 ,  -   ,  -   ,  -   ,  1.026 ,,,,Servizi amministrativi contabilità,  818 ,  1.932 ,  1.932 ,  6.540 ,  7.358 ,  9.520 ,  10.338 ,  11.156 ,  -   ,  -   ,  -   ,  -   ,  11.156 ,5%,,Servizi amministrativi contabilità,  818 ,  1.114 ,  -   ,  4.608 ,  818 ,  2.162 ,  818 ,  818 ,- 11.156 ,  -   ,  -   ,  -   ,  818 ,74%,,Servizi amministrativi contabilità,Servizi contabili e paghe
Servizi amministrativi paghe,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Servizi amministrativi paghe,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Servizi amministrativi paghe,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Servizi amministrativi paghe,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Servizi amministrativi paghe,Servizi contabili e paghe
Consulenze tecniche,  4.877 ,  11.659 ,  17.594 ,  21.724 ,  25.854 ,  26.854 ,  26.854 ,  29.150 ,  -   ,  -   ,  -   ,  -   ,  29.150 ,13%,,Consulenze tecniche,  4.877 ,  6.782 ,  5.936 ,  4.130 ,  4.130 ,  1.000 ,  -   ,  2.296 ,- 29.150 ,  -   ,  -   ,  -   ,  2.296 ,,,,Consulenze tecniche,  850 ,  32.614 ,  23.382 ,  37.729 ,  42.025 ,  42.973 ,  47.269 ,  49.865 ,  -   ,  -   ,  -   ,  -   ,  49.865 ,22%,,Consulenze tecniche,  850 ,  31.764 ,- 9.233 ,  14.347 ,  4.296 ,  948 ,  4.296 ,  2.596 ,- 49.865 ,  -   ,  -   ,  -   ,  2.596 ,235%,,Consulenze tecniche,Consulenze tecniche
Consulenze legali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.794 ,  1.794 ,  -   ,  -   ,  -   ,  -   ,  1.794 ,1%,,Consulenze legali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.794 ,  -   ,- 1.794 ,  -   ,  -   ,  -   ,  -   ,,,,Consulenze legali,  1.500 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Consulenze legali,  1.500 ,- 1.500 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Consulenze legali,Consulenze legali
Locazioni e noleggi,  683 ,  1.707 ,  3.013 ,  3.866 ,  4.960 ,  5.686 ,  6.509 ,  7.133 ,  -   ,  -   ,  -   ,  -   ,  7.133 ,3%,,Locazioni e noleggi,  683 ,  1.025 ,  1.306 ,  853 ,  1.094 ,  726 ,  823 ,  624 ,- 7.133 ,  -   ,  -   ,  -   ,  624 ,,,,Locazioni e noleggi,  450 ,  900 ,  1.350 ,  1.860 ,  2.370 ,  2.880 ,  3.640 ,  4.150 ,  -   ,  -   ,  -   ,  -   ,  4.150 ,2%,,Locazioni e noleggi,  450 ,  450 ,  450 ,  510 ,  510 ,  510 ,  760 ,  510 ,- 4.150 ,  -   ,  -   ,  -   ,  510 ,46%,,Locazioni e noleggi,Altre spese di funzionamento
Servizi indeducibili,  737 ,  779 ,  887 ,  896 ,  956 ,  956 ,  956 ,  1.052 ,  -   ,  -   ,  -   ,  -   ,  1.052 ,0%,,Servizi indeducibili,  737 ,  41 ,  108 ,  9 ,  61 ,  -   ,  -   ,  95 ,- 1.052 ,  -   ,  -   ,  -   ,  95 ,,,,Servizi indeducibili,  -   ,  -   ,  -   ,  3.780 ,  4.411 ,  5.161 ,  4.734 ,  4.797 ,  -   ,  -   ,  -   ,  -   ,  4.797 ,2%,,Servizi indeducibili,  -   ,  -   ,  -   ,  3.780 ,  631 ,  750 ,- 427 ,  63 ,- 4.797 ,  -   ,  -   ,  -   ,  63 ,6%,,Servizi indeducibili,Altre spese di funzionamento
Utili e perdite su cambi,  22 ,  497 ,  510 ,  512 ,  513 ,  513 ,  513 ,  513 ,  -   ,  -   ,  -   ,  -   ,  513 ,0%,,Utili e perdite su cambi,  22 ,  475 ,  13 ,  3 ,  0 ,  -   ,  1 ,  0 ,- 513 ,  -   ,  -   ,  -   ,  0 ,,,,Utili e perdite su cambi,  -   ,  27 ,  27 ,  63 ,  76 ,  100 ,  113 ,  139 ,  -   ,  -   ,  -   ,  -   ,  139 ,0%,,Utili e perdite su cambi,  -   ,  27 ,  -   ,  36 ,  13 ,  24 ,  13 ,  26 ,- 139 ,  -   ,  -   ,  -   ,  26 ,2%,,Utili e perdite su cambi,Altre spese di funzionamento
Perdite su crediti,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Perdite su crediti,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Perdite su crediti,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Perdite su crediti,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Perdite su crediti,Altre spese di funzionamento
Licenze d'uso,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Licenze d'uso,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Licenze d'uso,  -   ,  -   ,  -   ,  -   ,  -   ,  1.365 ,  1.365 ,  1.365 ,  -   ,  -   ,  -   ,  -   ,  1.365 ,1%,,Licenze d'uso,  -   ,  -   ,  -   ,  -   ,  -   ,  1.365 ,  -   ,  -   ,- 1.365 ,  -   ,  -   ,  -   ,  -   ,0%,,Licenze d'uso,Altre spese di funzionamento
Utenze telefoniche e cellulari,  10 ,  41 ,  72 ,  102 ,  133 ,  164 ,  195 ,  226 ,  -   ,  -   ,  -   ,  -   ,  226 ,0%,,Utenze telefoniche e cellulari,  10 ,  31 ,  31 ,  31 ,  31 ,  31 ,  31 ,  31 ,- 226 ,  -   ,  -   ,  -   ,  31 ,,,,Utenze telefoniche e cellulari,  -   ,  15 ,  481 ,  662 ,  859 ,  1.031 ,  1.112 ,  1.223 ,  -   ,  -   ,  -   ,  -   ,  1.223 ,1%,,Utenze telefoniche e cellulari,  -   ,  15 ,  466 ,  181 ,  197 ,  171 ,  82 ,  111 ,- 1.223 ,  -   ,  -   ,  -   ,  111 ,10%,,Utenze telefoniche e cellulari,Altre spese di funzionamento
Altri oneri,  1.700 ,  1.720 ,  2.705 ,  2.991 ,  3.004 ,  3.094 ,  3.288 ,  3.288 ,  -   ,  -   ,  -   ,  -   ,  3.288 ,,,Altri oneri,  1.700 ,  20 ,  986 ,  285 ,  13 ,  90 ,  195 ,  -   ,- 3.288 ,  -   ,  -   ,  -   ,  -   ,,,,Altri oneri,  749 ,  749 ,  749 ,  1.088 ,  1.088 ,  1.088 ,  1.187 ,  1.211 ,  -   ,  -   ,  -   ,  -   ,  1.211 ,,,Altri oneri,  749 ,  -   ,  -   ,  339 ,  -   ,  0 ,  99 ,  24 ,- 1.211 ,  -   ,  -   ,  -   ,  24 ,,,Altri oneri,Altre spese di funzionamento
Abbuoni e arrotondamenti,  4 ,  4 ,  4 ,  5 ,  10 ,  12 ,  12 ,  12 ,  -   ,  -   ,  -   ,  -   ,  12 ,0%,,Abbuoni e arrotondamenti,  4 ,  0 ,  0 ,  1 ,  5 ,  2 ,  -   ,  -   ,- 12 ,  -   ,  -   ,  -   ,  -   ,,,,Abbuoni e arrotondamenti,  0 ,  0 ,  1 ,  1 ,  1 ,  1 ,  1 ,  2 ,  -   ,  -   ,  -   ,  -   ,  2 ,0%,,Abbuoni e arrotondamenti,  0 ,  0 ,  0 ,  -   ,  -   ,  -   ,  1 ,  1 ,- 2 ,  -   ,  -   ,  -   ,  1 ,0%,,Abbuoni e arrotondamenti,Altre spese di funzionamento
SPESE DI STRUTTURA,  3.217 ,  44.764 ,  115.194 ,  135.841 ,  155.761 ,  182.683 ,  200.796 ,  220.189 ,  -   ,  -   ,  -   ,  -   ,  220.189 ,95%,,SPESE DI STRUTTURA,  3.217 ,  41.547 ,  70.430 ,  20.647 ,  19.921 ,  26.922 ,  18.113 ,  19.393 ,- 220.189 ,  -   ,  -   ,  -   ,  19.393 ,1753%,,,SPESE DI STRUTTURA,  14.655 ,  55.917 ,  57.863 ,  96.072 ,  114.279 ,  139.055 ,  156.232 ,  171.501 ,  -   ,  -   ,  -   ,  -   ,  171.501 ,74%,,SPESE DI STRUTTURA,  14.655 ,  41.262 ,  1.947 ,  38.209 ,  18.206 ,  24.777 ,  17.176 ,  15.269 ,- 171.501 ,  -   ,  -   ,  -   ,  15.269 ,1380%,,,
TOTALE GESTIONE STRUTTURA E NON TIPICA,  9.993 ,  53.639 ,  126.361 ,  147.988 ,  169.520 ,  196.829 ,  215.767 ,  235.468 ,  -   ,  -   ,  -   ,  -   ,  235.468 ,102%,,TOTALE GESTIONE STRUTTURA E NON TIPICA,  9.993 ,  43.646 ,  72.722 ,  21.627 ,  21.531 ,  27.309 ,  18.938 ,  19.701 ,- 235.468 ,  -   ,  -   ,  -   ,  19.701 ,1781%,,,TOTALE GESTIONE STRUTTURA E NON TIPICA,  15.341 ,  56.754 ,  59.415 ,  104.958 ,  124.389 ,  149.554 ,  169.306 ,  184.663 ,  -   ,  -   ,  -   ,  -   ,  184.663 ,80%,,TOTALE GESTIONE STRUTTURA E NON TIPICA,  15.341 ,  41.413 ,  2.661 ,  45.543 ,  19.432 ,  25.165 ,  19.752 ,  15.357 ,- 184.663 ,  -   ,  -   ,  -   ,  15.357 ,1388%,,,
EBITDA,  45.971 ,  21.850 ,- 17.092 ,- 15.105 ,- 19.148 ,- 22.632 ,- 61 ,- 21.178 ,  -   ,  -   ,  -   ,  -   ,- 21.178 ,-9%,,EBITDA,  45.971 ,- 24.121 ,- 38.943 ,  1.987 ,- 4.042 ,- 3.485 ,  22.571 ,- 21.116 ,  21.178 ,  -   ,  -   ,  -   ,- 21.116 ,-1909%,,,EBITDA,- 15.594 ,- 57.014 ,- 59.701 ,- 110.025 ,- 127.937 ,- 123.919 ,- 144.193 ,- 148.217 ,  -   ,  -   ,  -   ,  -   ,- 148.217 ,-64%,,EBITDA,- 15.594 ,- 41.420 ,- 2.687 ,- 50.324 ,- 17.912 ,  4.018 ,- 20.274 ,- 4.024 ,  148.217 ,  -   ,  -   ,  -   ,- 4.024 ,-364%,,,
Ammortamenti immateriali,  4.346 ,  8.306 ,  12.784 ,  17.037 ,  21.448 ,  25.702 ,  30.111 ,  34.520 ,  -   ,  -   ,  -   ,  -   ,  34.520 ,15%,,Ammortamenti immateriali,  4.346 ,  3.960 ,  4.478 ,  4.253 ,  4.411 ,  4.253 ,  4.409 ,  4.409 ,- 34.520 ,  -   ,  -   ,  -   ,  4.409 ,,,,Ammortamenti immateriali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  4.929 ,  5.648 ,  -   ,  -   ,  -   ,  -   ,  5.648 ,2%,,Ammortamenti immateriali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  4.929 ,  719 ,- 5.648 ,  -   ,  -   ,  -   ,  719 ,65%,,Ammortamenti immateriali,Ammortamenti e svalutazioni
Ammortamenti materiali,  36 ,  134 ,  204 ,  272 ,  355 ,  425 ,  498 ,  571 ,  -   ,  -   ,  -   ,  -   ,  571 ,0%,,Ammortamenti materiali,  36 ,  98 ,  70 ,  68 ,  82 ,  70 ,  73 ,  73 ,- 571 ,  -   ,  -   ,  -   ,  73 ,,,,Ammortamenti materiali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  248 ,  285 ,  -   ,  -   ,  -   ,  -   ,  285 ,0%,,Ammortamenti materiali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  248 ,  36 ,- 285 ,  -   ,  -   ,  -   ,  36 ,3%,,Ammortamenti materiali,Ammortamenti e svalutazioni
Svalutazioni e accantonamenti,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Svalutazioni e accantonamenti,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Svalutazioni e accantonamenti,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Svalutazioni e accantonamenti,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Svalutazioni e accantonamenti,Ammortamenti e svalutazioni
"AMMORTAMENTI, ACCANT. SVALUTAZIONI",  4.382 ,  8.440 ,  12.988 ,  17.310 ,  21.803 ,  26.127 ,  30.609 ,  35.091 ,  -   ,  -   ,  -   ,  -   ,  35.091 ,15%,,"AMMORTAMENTI, ACCANT. SVALUTAZIONI",  4.382 ,  4.058 ,  4.548 ,  4.321 ,  4.494 ,  4.323 ,  4.482 ,  4.482 ,- 35.091 ,  -   ,  -   ,  -   ,  4.482 ,405%,,,"AMMORTAMENTI, ACCANT. SVALUTAZIONI",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5.177 ,  5.933 ,  -   ,  -   ,  -   ,  -   ,  5.933 ,3%,,"AMMORTAMENTI, ACCANT. SVALUTAZIONI",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5.177 ,  756 ,- 5.933 ,  -   ,  -   ,  -   ,  756 ,68%,,,
Plusvalenze e minusvalenze straordinarie,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Plusvalenze e minusvalenze straordinarie,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Plusvalenze e minusvalenze straordinarie,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Plusvalenze e minusvalenze straordinarie,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Plusvalenze e minusvalenze straordinarie,Gestione straordinaria
Altri proventi/costi straordinari,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Altri proventi/costi straordinari,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Altri proventi/costi straordinari,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Altri proventi/costi straordinari,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Altri proventi/costi straordinari,Gestione straordinaria
GESTIONE STRAORDINARIA,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,GESTIONE STRAORDINARIA,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,,GESTIONE STRAORDINARIA,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,GESTIONE STRAORDINARIA,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,,
EBIT,  41.589 ,  13.410 ,- 30.081 ,- 32.415 ,- 40.951 ,- 48.759 ,- 30.670 ,- 56.268 ,  -   ,  -   ,  -   ,  -   ,- 56.268 ,-24%,,EBIT,  41.589 ,- 28.179 ,- 43.491 ,- 2.334 ,- 8.536 ,- 7.808 ,  18.089 ,- 25.598 ,  56.268 ,  -   ,  -   ,  -   ,- 25.598 ,-2314%,,,EBIT,- 15.594 ,- 57.014 ,- 59.701 ,- 110.025 ,- 127.937 ,- 123.919 ,- 149.370 ,- 154.150 ,  -   ,  -   ,  -   ,  -   ,- 154.150 ,-67%,,EBIT,- 15.594 ,- 41.420 ,- 2.687 ,- 50.324 ,- 17.912 ,  4.018 ,- 25.451 ,- 4.779 ,  154.150 ,  -   ,  -   ,  -   ,- 4.779 ,-432%,,,
Spese e commissioni bancarie,  25 ,  56 ,  70 ,  124 ,  133 ,  139 ,  195 ,  257 ,  -   ,  -   ,  -   ,  -   ,  257 ,0%,,Spese e commissioni bancarie,  25 ,  31 ,  14 ,  54 ,  10 ,  6 ,  55 ,  62 ,- 257 ,  -   ,  -   ,  -   ,  62 ,,,,Spese e commissioni bancarie,  9 ,  14 ,  41 ,  183 ,  193 ,  202 ,  273 ,  334 ,  -   ,  -   ,  -   ,  -   ,  334 ,0%,,Spese e commissioni bancarie,  9 ,  5 ,  28 ,  142 ,  10 ,  9 ,  71 ,  61 ,- 334 ,  -   ,  -   ,  -   ,  61 ,6%,,Spese e commissioni bancarie,Gestione finanziaria
Interessi passivi su mutui,  125 ,  301 ,  467 ,  624 ,  773 ,  913 ,  1.044 ,  1.170 ,  -   ,  -   ,  -   ,  -   ,  1.170 ,1%,,Interessi passivi su mutui,  125 ,  176 ,  166 ,  158 ,  148 ,  140 ,  131 ,  126 ,- 1.170 ,  -   ,  -   ,  -   ,  126 ,,,,Interessi passivi su mutui,  -   ,  -   ,  271 ,  537 ,  795 ,  1.047 ,  1.291 ,  1.526 ,  -   ,  -   ,  -   ,  -   ,  1.526 ,1%,,Interessi passivi su mutui,  -   ,  -   ,  271 ,  266 ,  258 ,  252 ,  244 ,  235 ,- 1.526 ,  -   ,  -   ,  -   ,  235 ,21%,,Interessi passivi su mutui,Gestione finanziaria
Altri interessi,  -   ,  -   ,  -   ,  57 ,  57 ,  106 ,  176 ,  176 ,  -   ,  -   ,  -   ,  -   ,  176 ,0%,,Altri interessi,  -   ,  -   ,  -   ,  57 ,  -   ,  48 ,  70 ,  -   ,- 176 ,  -   ,  -   ,  -   ,  -   ,,,,Altri interessi ,  -   ,  140 ,  140 ,  625 ,  625 ,  625 ,  636 ,  636 ,  -   ,  -   ,  -   ,  -   ,  636 ,0%,,Altri interessi ,  -   ,  140 ,  -   ,  485 ,  -   ,  -   ,  11 ,  1 ,- 636 ,  -   ,  -   ,  -   ,  1 ,0%,,Altri interessi,Gestione finanziaria
GESTIONE FINANZIARIA,  150 ,  357 ,  537 ,  806 ,  963 ,  1.158 ,  1.415 ,  1.603 ,  -   ,  -   ,  -   ,  -   ,  1.603 ,1%,,GESTIONE FINANZIARIA,  150 ,  207 ,  180 ,  269 ,  158 ,  195 ,  257 ,  188 ,- 1.603 ,  -   ,  -   ,  -   ,  188 ,17%,,,GESTIONE FINANZIARIA,  9 ,  153 ,  452 ,  1.345 ,  1.613 ,  1.874 ,  2.199 ,  2.496 ,  -   ,  -   ,  -   ,  -   ,  2.496 ,1%,,GESTIONE FINANZIARIA,  9 ,  144 ,  298 ,  893 ,  268 ,  261 ,  326 ,  297 ,- 2.496 ,  -   ,  -   ,  -   ,  297 ,27%,,,
EBT,  41.439 ,  13.054 ,- 30.618 ,- 33.220 ,- 41.914 ,- 49.917 ,- 32.085 ,- 57.871 ,  -   ,  -   ,  -   ,  -   ,- 57.871 ,-25%,,EBT,  41.439 ,- 28.386 ,- 43.671 ,- 2.603 ,- 8.694 ,- 8.003 ,  17.832 ,- 25.787 ,  57.871 ,  -   ,  -   ,  -   ,- 25.787 ,-2331%,,,EBT,- 15.603 ,- 57.168 ,- 60.153 ,- 111.370 ,- 129.550 ,- 125.793 ,- 151.570 ,- 156.646 ,  -   ,  -   ,  -   ,  -   ,- 156.646 ,-68%,,EBT,- 15.603 ,- 41.564 ,- 2.986 ,- 51.216 ,- 18.180 ,  3.757 ,- 25.777 ,- 5.076 ,  156.646 ,  -   ,  -   ,  -   ,- 5.076 ,-459%,,,
Imposte dirette,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Imposte dirette,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Imposte dirette,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Imposte dirette,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Imposte dirette,Imposte
RISULTATO DELL'ESERCIZIO,  41.439 ,  13.054 ,- 30.618 ,- 33.220 ,- 41.914 ,- 49.917 ,- 32.085 ,- 57.871 ,  -   ,  -   ,  -   ,  -   ,- 57.871 ,-25%,,RISULTATO DELL'ESERCIZIO,  41.439 ,- 28.386 ,- 43.671 ,- 2.603 ,- 8.694 ,- 8.003 ,  17.832 ,- 25.787 ,  57.871 ,  -   ,  -   ,  -   ,- 25.787 ,-2331%,,,RISULTATO DELL'ESERCIZIO,- 15.603 ,- 57.168 ,- 60.153 ,- 111.370 ,- 129.550 ,- 125.793 ,- 151.570 ,- 156.646 ,  -   ,  -   ,  -   ,  -   ,- 156.646 ,-68%,,RISULTATO DELL'ESERCIZIO,- 15.603 ,- 41.564 ,- 2.986 ,- 51.216 ,- 18.180 ,  3.757 ,- 25.777 ,- 5.076 ,  156.646 ,  -   ,  -   ,  -   ,- 5.076 ,-459%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.439,13.054,30.618,33.220,41.914,49.917,32.085,57.871,,,,,,,,CUMULATO,  41.439 ,  13.054 ,- 30.618 ,- 33.220 ,- 41.914 ,- 49.917 ,- 32.085 ,- 57.871 ,  0 ,  0 ,  0 ,  0 ,,,,,,15.603,57.168,60.153,111.370,129.550,125.793,151.570,156.646,174.429,177.538,173.566,223.384,,,,CUMULATO,- 15.603 ,- 57.168 ,- 60.153 ,- 111.370 ,- 129.550 ,- 125.793 ,- 151.570 ,- 156.646 ,  -   ,  -   ,  -   ,  -   ,,,,,
,82.879,26.107,0,(0),(0),(0),(0),(0),0,0,0,0,,,,,0,0,(0),0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,(0),(0),(0),0,(0),(0),0,0,0,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,(0),0,0,(0),0,0,(0),174.429,177.538,173.566,223.384,,,,,,,,,,,,,,,,,(5.076),,,,
